City,Date,PM2.5,PM10,NO2,SO2,O3,AQI,AQI_Bucket
Delhi,2022-01-13,230.5,355.43,61.28,24.28,75.14,370.0,Very Poor
Delhi,2022-01-14,191.47,308.74,54.37,22.47,64.8,365.0,Very Poor
Delhi,2022-01-15,177.71,309.85,52.51,19.12,59.73,352.0,Very Poor
Delhi,2022-01-16,133.56,231.04,46.86,19.06,54.0,278.0,Poor
Delhi,2022-01-17,235.06,353.55,47.86,14.48,64.1,350.0,Very Poor
Delhi,2022-01-18,276.25,428.08,55.08,21.02,72.89,411.0,Severe
Delhi,2022-01-19,253.7,398.16,49.45,22.27,73.6,451.0,Severe
Delhi,2022-01-20,152.33,252.92,38.87,14.45,43.18,351.0,Very Poor
Delhi,2022-01-21,153.61,274.5,44.09,16.91,41.49,310.0,Very Poor
Delhi,2022-01-22,202.11,352.68,56.45,21.64,68.33,362.0,Very Poor
Delhi,2022-01-23,160.79,248.48,47.26,14.25,48.67,343.0,Very Poor
Delhi,2022-01-24,130.16,192.19,35.33,11.9,42.04,286.0,Poor
Delhi,2022-01-25,111.75,167.31,40.13,6.84,43.99,267.0,Poor
Delhi,2022-01-26,128.45,207.66,38.17,7.99,44.09,263.0,Poor
Delhi,2022-01-27,155.2,271.1,45.14,7.94,56.12,284.0,Poor
Delhi,2022-01-28,150.96,248.26,47.6,10.26,54.01,334.0,Very Poor
Delhi,2022-01-29,162.48,272.45,54.51,12.61,60.56,332.0,Very Poor
Delhi,2022-01-30,126.84,212.59,47.59,14.47,56.85,300.0,Poor
Delhi,2022-01-31,123.48,205.56,45.46,11.35,53.7,271.0,Poor
Delhi,2022-02-01,157.33,298.58,63.88,18.67,60.7,293.0,Poor
Delhi,2022-02-02,140.35,282.16,54.28,12.25,52.12,318.0,Very Poor
Delhi,2022-02-03,115.05,239.61,51.46,14.2,52.29,277.0,Poor
Delhi,2022-02-04,133.8,252.13,46.74,13.2,52.23,284.0,Poor
Delhi,2022-02-05,163.6,308.37,63.42,14.77,43.11,313.0,Very Poor
Delhi,2022-02-06,143.29,274.72,56.51,14.94,41.11,324.0,Very Poor
Delhi,2022-02-07,131.49,246.92,54.53,14.58,49.34,287.0,Poor
Delhi,2022-02-08,186.19,338.61,74.83,13.8,45.91,334.0,Very Poor
Delhi,2022-02-09,203.33,348.94,74.5,14.35,49.11,375.0,Very Poor
Delhi,2022-02-10,209.7,373.06,99.06,13.77,53.31,378.0,Very Poor
Delhi,2022-02-11,148.13,300.96,62.4,14.45,43.54,350.0,Very Poor
Delhi,2022-02-12,72.36,153.11,33.08,8.58,37.47,218.0,Poor
Delhi,2022-02-13,103.93,170.12,46.48,10.25,38.83,189.0,Moderate
Delhi,2022-02-14,76.92,149.43,34.92,9.03,38.43,217.0,Poor
